yyyyMMdd,Net sales,Total orders,Total guests
20260426,6016.34,317,317
20260427,2763.8,169,169
20260428,2959.8,195,195
20260429,2902.78,187,187
20260430,2770.66,160,160
20260501,3952.25,226,226
20260502,5343.83,312,312
20260503,5748.18,294,294
20260504,3054.16,162,162
20260505,2416.19,170,170
20260506,2985.28,176,176
20260507,2768.0,170,170
20260508,4064.84,242,242
20260509,5706.93,322,322
20260510,5845.9,270,270
20260511,2340.81,145,145
20260512,2890.51,178,178
20260513,3542.25,192,192
20260514,3169.96,180,180
20260515,4549.91,239,239
20260516,6500.19,291,291
20260517,5474.75,260,260
20260518,3051.1,161,162
20260519,3229.89,186,186
20260520,3233.73,171,171
20260521,3720.72,206,206
20260522,5372.42,276,276
20260523,7075.63,357,357
20260524,6055.43,298,298
20260525,5593.02,276,276
20260526,3389.89,207,207
20260527,3175.39,184,184
20260528,3307.21,192,192
20260529,4699.1,270,270
20260530,6356.81,349,349
20260531,6322.01,295,295
20260601,3765.62,191,191
20260602,3406.71,187,187
20260603,3730.2,230,230
20260604,3740.61,217,217
20260605,5334.88,288,288
20260606,7096.44,347,347
20260607,6044.62,287,287
20260608,3253.77,190,190
20260609,3058.84,199,199
20260610,2920.93,166,166
20260611,3157.26,167,167
20260612,3797.63,221,221
20260613,6354.4,309,309
20260614,5217.89,278,278
20260615,3020.46,173,173
20260616,2845.99,178,178
20260617,3396.68,211,211
20260618,6075.13,255,255
20260619,9752.58,398,398
20260620,9533.48,365,365
20260621,9612.75,363,363
20260622,4766.75,228,228
20260623,4922.43,250,250
20260624,4625.98,241,241
20260625,4707.28,255,255
20260626,7081.96,340,340
20260627,9847.24,439,439
20260628,9391.83,375,375
20260629,4329.47,231,231
20260702,5323.64,276,276
20260703,8971.36,413,413
20260704,7583.88,348,348
20260705,8461.52,327,327
20260706,4407.43,245,245
20260707,4172.06,232,232
20260708,4557.04,240,240
20260709,4414.09,242,242
20260710,5862.73,309,309
20260711,8828.02,383,383
20260712,7264.13,296,296
20260713,3997.04,232,232
20260714,3892.15,217,217
20260715,4313.02,221,221
20260716,3860.07,211,211
20260717,5582.16,319,319
20260718,8726.19,380,380
20260719,5747.05,284,284
20260720,3053.49,178,178
20260721,3815.06,224,224
20260722,3495.90,206,206
20260723,4109.77,233,233
20260724,5390.33,293,293
20260725,6638.83,357,357
20260726,5634.96,296,296
20260727,3072.10,174,174
20260728,4148.57,241,241
20260729,4026.91,224,224
20260730,3424.40,196,196
20260731,5139.66,288,288
20260801,5917.00,310,310
20260802,6542.82,320,320
20260803,3558.29,211,211
20260804,3803.00,218,218
20260805,2449.02,163,163
20260806,3278.66,208,208
20260807,4969.06,269,269
20260808,7452.81,372,372
20260809,6486.83,300,300
20260810,3611.30,207,207
20260811,3683.67,210,210
20260812,3784.45,219,219
20260813,3212.83,179,179
