date,net_sales,orders,bs,cw
2026-07-13,3997.04,227,53,16
2026-08-10,3611.30,207,35,12
2026-08-11,3683.67,210,36,21
2026-08-12,3784.45,219,33,15
2026-08-13,3739.73,223,37,8
2026-08-14,5836.99,337,57,28
2026-08-15,7564.72,366,116,19
2026-08-17,3327.28,210,42,10
2026-08-18,2763.41,194,25,9
2026-08-19,3480.61,215,36,10
2026-08-20,3132.37,194,28,17
2026-08-21,4342.60,258,47,20
2026-08-22,6504.28,354,93,15
2026-08-24,2635.12,166,33,12
2026-08-25,3265.86,176,17,6
2026-08-26,2454.96,161,26,9
2026-08-27,3300.81,218,34,11
2026-08-28,3880.36,237,38,16
2026-08-29,5402.74,295,52,10
2026-08-31,3007.22,179,32,10
2026-09-01,3404.22,199,34,11
